0,1,2,3,4,5,6,7,8
작업대출 금융사기정보,치안데이터,2021-12-15 13:04:23 최초등록 , 2021-12-15 15:10:22 업데이트됨,                            CSV,"                            500,000",34,0,           매분기
통장매매 금융사기정보,치안데이터,2021-12-15 13:05:22 최초등록 , 2021-12-15 15:09:16 업데이트됨,                            CSV,"                            500,000",34,0,           매분기
핸드폰소액결제 금융사기정보,치안데이터,2021-12-15 13:05:58 최초등록 , 2021-12-15 15:08:51 업데이트됨,                            CSV,"                            500,000",34,0,           매분기
불법 금융광고,치안데이터,2021-12-15 13:06:37 최초등록 , 2021-12-15 15:08:28 업데이트됨,                            CSV,"                            5,000,000",34,0,           매반기
성매매업소광고,디지털치안데이터,2021-12-15 13:07:21 최초등록 , 2021-12-15 15:08:06 업데이트됨,                            이미지,"                            5,000,000",34,0,           매반기
마약광고,디지털치안데이터,2021-12-15 13:07:58 최초등록 , 2021-12-15 15:07:46 업데이트됨,                            이미지,"                            5,000,000",34,0,           매반기
온라인 불법유통 및 알선 게시물,디지털치안데이터,2021-12-10 19:16:05 최초등록 , 2021-12-10 19:16:05 업데이트됨,                            CSV,                            0,34,0,           매월
독극물 구매 알선 게시물,디지털치안데이터,2021-12-10 19:16:44 최초등록 , 2021-12-10 19:16:44 업데이트됨,                            CSV,                            0,34,0,           매월
성매매 업체 홍보 게시물,디지털치안데이터,2021-12-10 19:17:20 최초등록 , 2021-12-10 19:17:20 업데이트됨,                            CSV,                            0,34,0,           매월
미성년자 성매매 유도 게시물,디지털치안데이터,2021-12-10 19:17:49 최초등록 , 2021-12-10 19:17:49 업데이트됨,                            CSV,                            0,34,0,           매월
온라인 도박 사이트 유도 게시물,디지털치안데이터,2021-12-10 19:18:17 최초등록 , 2021-12-10 19:18:17 업데이트됨,                            CSV,                            0,34,0,           매월
불법금융 상품 홍보 게시물,디지털치안데이터,2021-12-10 19:18:52 최초등록 , 2021-12-10 19:18:52 업데이트됨,                            CSV,                            0,34,0,           매월
불법 환전 모집 게시물,디지털치안데이터,2021-12-10 19:19:25 최초등록 , 2021-12-10 19:19:25 업데이트됨,                            CSV,                            0,34,0,           매월
명예훼손 게시물,디지털치안데이터,2021-12-10 19:19:54 최초등록 , 2021-12-10 19:19:54 업데이트됨,                            CSV,                            0,34,0,           매월
