도시구분과 관서별 유흥시설,지역환경공공데이터,2021-11-25 18:33:41 최초등록 , 2021-11-26 10:25:36 업데이트됨,                            공간,                            무료 ,43,2,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_200
도시구분과 관서별 여관시설,지역환경공공데이터,2021-11-25 18:35:19 최초등록 , 2021-11-26 10:25:53 업데이트됨,                            공간,                            무료 ,43,1,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_201
도시구분과 관서별 여행숙박시설,지역환경공공데이터,2021-11-25 19:17:21 최초등록 , 2021-11-26 10:25:59 업데이트됨,                            공간,                            무료 ,43,1,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_202
도시구분과 관서별 편의점,지역환경공공데이터,2021-11-25 19:18:47 최초등록 , 2021-11-26 10:26:06 업데이트됨,                            공간,                            무료 ,43,0,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_203
도로구간,지역환경공공데이터,2021-12-17 17:40:46 최초등록 , 2021-12-17 23:08:34 업데이트됨,                            공간,                            무료 ,44,131,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_323
기초구역,지역환경공공데이터,2021-12-17 17:41:20 최초등록 , 2021-12-17 23:08:20 업데이트됨,                            공간,                            무료 ,44,31,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_324
건물군,지역환경공공데이터,2021-12-17 17:41:45 최초등록 , 2021-12-17 23:08:05 업데이트됨,                            공간,                            무료 ,44,23,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_325
건물출입구,지역환경공공데이터,2021-12-17 17:42:16 최초등록 , 2021-12-17 23:07:44 업데이트됨,                            공간,                            무료 ,44,35,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_326
통계청기준 시도,지역환경공공데이터,2021-12-17 17:42:46 최초등록 , 2021-12-17 23:07:27 업데이트됨,                            공간,                            무료 ,44,42,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_327
통계청기준 자치구,지역환경공공데이터,2021-12-17 17:43:08 최초등록 , 2021-12-17 23:07:17 업데이트됨,                            공간,                            무료 ,44,47,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_328
통계청기준 행정동정보,지역환경공공데이터,2021-12-17 17:43:28 최초등록 , 2021-12-17 23:07:06 업데이트됨,                            공간,                            무료 ,44,29,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_329
행안부기준 시도,지역환경공공데이터,2021-12-17 17:44:06 최초등록 , 2021-12-17 23:06:54 업데이트됨,                            공간,                            무료 ,44,0,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_330
행안부기준 자치구정보,지역환경공공데이터,2021-12-17 17:44:35 최초등록 , 2021-12-17 23:06:44 업데이트됨,                            공간,                            무료 ,44,0,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_331
행안부기준 법정동정보,부동산,2021-12-17 17:45:11 최초등록 , 2021-12-27 11:47:50 업데이트됨,                            공간,                            무료 ,44,30,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_332
골목상권,지역환경공공데이터,2021-12-17 17:45:36 최초등록 , 2021-12-17 23:06:18 업데이트됨,                            공간,                            무료 ,44,44,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_333
발달상권,지역환경공공데이터,2021-12-17 17:46:05 최초등록 , 2021-12-17 23:06:08 업데이트됨,                            공간,                            무료 ,44,40,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_334
안전비상벨설치현황,지역환경공공데이터,2021-12-15 15:13:12 최초등록 , 2021-12-15 16:09:56 업데이트됨,                            CSV,                            무료 ,44,22,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_305
안전시설 데이터,지역환경공공데이터,2021-12-17 17:25:40 최초등록 , 2021-12-17 23:10:10 업데이트됨,                            CSV,                            무료 ,44,3,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_311
상권 길단위상존인구 분기,지역환경공공데이터,2021-12-17 17:26:35 최초등록 , 2021-12-17 23:11:28 업데이트됨,                            CSV,                            무료 ,44,0,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_312
행정동 외국인 생활인구 분기,지역환경공공데이터,2021-12-17 17:27:10 최초등록 , 2021-12-17 23:11:11 업데이트됨,                            CSV,                            무료 ,44,0,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_313
행정동 집객시설,지역환경공공데이터,2021-12-17 17:29:16 최초등록 , 2021-12-17 23:10:50 업데이트됨,                            CSV,                            무료 ,44,3,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_314
버스정류장,지역환경공공데이터,2021-12-17 17:30:45 최초등록 , 2021-12-17 23:10:36 업데이트됨,                            CSV,                            무료 ,44,0,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_315
행정동 내국인 생활인구 분기,지역환경공공데이터,2021-12-17 17:31:40 최초등록 , 2021-12-17 23:10:21 업데이트됨,                            CSV,                            무료 ,44,0,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_316
자전거 위치,지역환경공공데이터,2021-12-17 17:34:24 최초등록 , 2021-12-17 23:09:53 업데이트됨,                            CSV,                            무료 ,44,0,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_317
주차단속위치,지역환경공공데이터,2021-12-17 17:34:58 최초등록 , 2021-12-17 23:09:39 업데이트됨,                            CSV,                            무료 ,44,0,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_318
지하철역위치,지역환경공공데이터,2021-12-17 17:37:58 최초등록 , 2021-12-17 23:09:26 업데이트됨,                            CSV,                            무료 ,44,44,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_319
행정동 소비특성,지역환경공공데이터,2021-12-17 17:38:32 최초등록 , 2021-12-17 23:09:14 업데이트됨,                            CSV,                            무료 ,44,44,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_320
건물공간정보,지역환경공공데이터,2021-12-17 17:40:08 최초등록 , 2021-12-17 23:08:46 업데이트됨,                            공간,                            무료 ,44,33,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_322
통장매매 금융사기정보,치안데이터,2021-12-15 13:05:22 최초등록 , 2021-12-15 15:09:16 업데이트됨,                            CSV,"500,000",44,0,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_288
핸드폰소액결제 금융사기정보,치안데이터,2021-12-15 13:05:58 최초등록 , 2021-12-15 15:08:51 업데이트됨,                            CSV,"500,000",44,0,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_289
불법 금융광고,치안데이터,2021-12-15 13:06:37 최초등록 , 2021-12-15 15:08:28 업데이트됨,                            CSV,"5,000,000",44,0,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_290
성매매업소광고,디지털치안데이터,2021-12-15 13:07:21 최초등록 , 2021-12-15 15:08:06 업데이트됨,                            이미지,"5,000,000",44,0,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_291
마약광고,디지털치안데이터,2021-12-15 13:07:58 최초등록 , 2021-12-15 15:07:46 업데이트됨,                            이미지,"5,000,000",44,0,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_292
불법도박광고,디지털치안데이터,2021-12-15 13:08:34 최초등록 , 2021-12-15 15:06:05 업데이트됨,                            이미지,"5,000,000",44,1,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_293
노숙인자활시설현황,지역환경공공데이터,2021-12-15 14:57:14 최초등록 , 2021-12-15 16:04:14 업데이트됨,                            CSV,                            무료 ,44,42,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_294
아동복지시설현황,지역환경공공데이터,2021-12-15 14:58:22 최초등록 , 2021-12-15 16:05:04 업데이트됨,                            CSV,                            무료 ,44,28,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_295
청소년 공부방 현황,지역환경공공데이터,2021-12-15 14:59:27 최초등록 , 2021-12-15 16:08:35 업데이트됨,                            CSV,                            무료 ,44,29,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_297
도서관 현황,지역환경공공데이터,2021-12-15 14:59:56 최초등록 , 2021-12-15 16:08:45 업데이트됨,                            CSV,                            무료 ,44,28,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_298
무료급식소,지역환경공공데이터,2021-12-15 15:00:24 최초등록 , 2021-12-15 16:08:55 업데이트됨,                            CSV,                            무료 ,44,33,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_299
주택통계,지역환경공공데이터,2021-12-15 15:02:28 최초등록 , 2021-12-15 16:09:14 업데이트됨,                            CSV,                            무료 ,44,29,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_301
